date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi
2/28/2020,AK,25.02,35.15,19.97,27.11,32.68,22.65,2073,1248,2205,35.37,44.28,33.71,17.92,21.95,15.48,5.07,10.06,4.19,2.51,2.26,1.98,2.62,3.19,2.49,4.25,8.3,2.54,35.21,26.56,31.39
2/28/2020,AL,33.45,51.47,28.7,38.05,56.75,33.14,1917,1916,1916,32.84,42.32,31.13,20.4,30.11,17.4,7.62,13,6.66,7.33,12.11,6.1,4.1,7.38,3.69,8.18,13.15,6.83,18.81,24.56,16.83
2/28/2020,AR,32.93,52.27,30.24,37.97,58.2,35.07,1671,1847,1650,32.51,42.17,31.49,21.84,34.53,19.69,7.83,15.56,7.22,5.11,11.37,4.39,3.74,7.1,3.53,2.61,3.6,2.43,8.68,7.03,8.11
2/28/2020,AZ,26.45,41.21,18.94,32.4,47.48,24.48,2051,1995,2037,30.06,37.57,26.8,18.37,25.69,14.93,5.99,9.83,4.65,4.51,8.28,2.88,2.4,5.05,1.6,4.67,6.91,3.56,11.26,11.59,11.16
2/28/2020,CA,20.73,24.98,14.1,23.74,28.08,17.08,1842,1848,1679,27.83,30,24.54,15.12,17.78,10.97,5.48,6.82,3.71,3.98,5.16,2.02,2.13,2.74,1.34,4.42,5.44,2.64,16.85,16.74,15.9
2/28/2020,CO,20.41,34.63,16.74,24.61,40.45,20.51,1682,1401,1730,27.83,34.8,26.24,14.03,19.4,12.36,4.57,7.9,3.98,2.7,4.99,2.24,1.79,3.41,1.5,4.08,7.45,3.21,14.77,17.46,13.13
2/28/2020,CT,21.39,40.67,14.96,25.66,44.95,18.95,1625,1505,1656,28.25,39.15,25.64,13.03,21.99,9.88,5.45,11.33,4.04,2.88,6.42,1.98,3.67,6.9,3.2,1.42,2.5,0.99,12.95,13.33,10.85
2/28/2020,DC,26.1,38.1,7.01,28.2,41.02,7.53,1468,1535,966,29.38,36.99,19.89,16.43,22.72,5.05,5.85,9.14,1.96,6.01,7.7,0.77,2.34,3.74,0.69,2.6,3.79,0.43,11.46,13.33,n/a*
2/28/2020,DE,26.05,44.13,20.68,31.8,51.09,25.97,1891,1865,1808,29.73,39.28,27.13,16.04,24.94,12.31,6.39,12.08,5.11,4.1,7.2,3.31,3.37,7.63,2.81,5.87,9.83,4.57,11.57,13.27,9.5
2/28/2020,FL,26.81,33.83,21.91,33.14,39.48,28.54,2186,2240,2146,31.66,37.52,27.97,18.69,21.01,16.62,7.2,9.95,5.54,4.37,6.04,3.37,3.41,4.74,2.63,4.52,5.33,3.85,9.11,10.33,8.41
