place,date,subp_credit_all,subp_credit_whi,subp_credit_coc,subp_credit_bla,subp_credit_lat,subp_credit_api,subp_credit_nat,debt_in_collect_all,debt_in_collect_whi,debt_in_collect_coc,debt_in_collect_bla,debt_in_collect_lat,debt_in_collect_api,debt_in_collect_nat,median_debt_in_collect_all,median_debt_in_collect_whi,median_debt_in_collect_coc,median_debt_in_collect_bla,median_debt_in_collect_lat,median_debt_in_collect_api,median_debt_in_collect_nat,avg_cc_util_all,avg_cc_util_whi,avg_cc_util_coc,avg_cc_util_bla,avg_cc_util_lat,avg_cc_util_api,avg_cc_util_nat,stud_loan_del_rate_all,stud_loan_del_rate_whi,stud_loan_del_rate_coc,stud_loan_del_rate_bla,stud_loan_del_rate_lat,stud_loan_del_rate_api,stud_loan_del_rate_nat,cc_del_rate_all,cc_del_rate_whi,cc_del_rate_coc,cc_del_rate_bla,cc_del_rate_lat,cc_del_rate_api,cc_del_rate_nat,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_whi,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_bla,auto_retail_loan_del_rate_lat,auto_retail_loan_del_rate_api,auto_retail_loan_del_rate_nat,mortgage_del_rate_all,mortgage_del_rate_whi,mortgage_del_rate_coc,mortgage_del_rate_bla,mortgage_del_rate_lat,mortgage_del_rate_api,mortgage_del_rate_nat,afs_cred_all,afs_cred_whi,afs_cred_coc,afs_cred_bla,afs_cred_lat,afs_cred_api,afs_cred_nat,del_afs_credit_rate_all,del_afs_credit_rate_whi,del_afs_credit_rate_coc,del_afs_credit_rate_bla,del_afs_credit_rate_lat,del_afs_credit_rate_api,del_afs_credit_rate_nat
US,2/28/2020,24.88,20.45,34.77,49.64,34.46,11.47,51.17,29.68,25.1,39.8,55.5,39.95,13.17,55.3,1833,1785,1869,1910,1833,1731,2310,29.34,27.1,35.1,44.11,35.56,18.61,46.56,16.24,13.75,21.82,28.27,21.16,12.2,30.85,5.92,4.81,8.99,13.97,9.06,3.76,11.64,4.31,3.22,8.99,10.15,7.46,2.68,14.53,3.02,2.6,4.62,7.75,4.83,0.98,7.3,4.41,3.65,5.99,8.43,5.87,1.92,12.97,11.45,9.83,13.37,13.94,12.34,15.66,11.89
US,4/30/2020,23.88,19.54,33.52,47.98,33.2,11.34,50.08,29.4,24.76,39.62,55.07,39.79,13.55,54.45,1829,1776,1868,1911,1831,1660,2297,26.95,24.83,32.37,40.73,32.94,16.83,42.16,13.3,11.3,17.72,23.34,16.61,10.1,27.35,5.57,4.51,8.48,12.72,8.65,3.99,10.22,4.2,3.15,8.48,9.73,7.25,2.86,12.64,2.59,2.23,3.95,6.61,3.86,0.94,5.51,4.6,3.81,6.25,8.78,6.16,1.94,13.93,10.2,8.64,11.95,12.23,10.68,14.88,10.47
US,6/30/2020,23.13,18.85,32.64,46.84,32.4,11.17,47.99,29.39,24.72,39.65,54.97,39.86,13.75,53.76,1848,1793,1893,1917,1863,1716,2169,25.49,23.72,30.05,37.58,30.62,15.67,39.12,12.15,10.26,16.3,21.21,15.53,9,24.87,4.76,3.84,7.32,10.69,7.64,3.58,8.75,4.05,3.03,7.32,9.83,6.86,3.17,14.48,1.78,1.56,2.63,4.43,2.52,0.7,4.97,4.69,3.88,6.38,8.92,6.31,2.02,14.17,9.57,8.18,11.09,11.42,10.14,14.04,10.37
US,8/31/2020,22.7,18.52,31.99,45.8,31.78,11.03,47.15,29.14,24.49,39.37,54.4,39.68,13.77,53.52,1860,1800,1913,1923,1891,1716,2147,25.67,24.03,29.92,37.28,30.34,15.9,39.01,11.64,9.84,15.62,20.13,14.87,8.95,23.61,4.43,3.64,6.65,9.61,6.96,3.22,7.9,3.6,2.71,6.65,8.73,6.01,2.77,13.72,1.75,1.55,2.47,3.98,2.5,0.68,7.74,4.73,3.91,6.44,9.02,6.4,2.01,14.35,9.39,8.09,10.75,11.18,9.72,13.57,8.82
