date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi
2/28/2020,01039,37.42,n/a*,37.5,41.18,n/a*,41.28,2196.00,n/a*,2195,34.48,n/a*,34.33,24.64,n/a*,24.64,10.1,n/a*,10.17,9.09,n/a*,9.16,2.06,n/a*,2.06,7.68,n/a*,7.73,n/a*,n/a*,n/a*
2/28/2020,01041,34.31,n/a**,34.65,39.33,n/a**,39.47,1842.00,n/a**,2047,43.25,n/a**,43.85,n/a*,n/a**,n/a*,8.47,n/a**,8.77,7.77,n/a**,8.08,n/a*,n/a**,n/a*,8.37,n/a**,8.77,n/a*,n/a**,n/a*
2/28/2020,01043,30.36,n/a**,30.58,34.86,n/a**,34.93,1804.00,n/a**,1853,33.68,n/a**,33.79,27.74,n/a**,27.74,7.53,n/a**,7.66,4.77,n/a**,4.84,4.64,n/a**,4.4,5.9,n/a**,5.99,19.05,n/a**,19.05
2/28/2020,01045,32.51,n/a**,32.75,33.16,n/a**,33.15,1993.00,n/a**,2026,34.16,n/a**,33.69,24.49,n/a**,24.74,6.39,n/a**,6.6,6.4,n/a**,6.59,2.08,n/a**,2.11,6.53,n/a**,6.74,12,n/a**,12
2/28/2020,01047,47.57,47.35,n/a*,54.77,55.65,n/a*,2225.00,2227.00,n/a*,38.17,38.55,n/a*,28.24,28.24,n/a*,15.25,15.63,n/a*,17.36,16.3,n/a*,4.11,4.29,n/a*,9.55,9.01,n/a*,28.07,27.45,n/a*
2/28/2020,01049,32.02,n/a**,32.02,37.06,n/a**,37.06,1613.00,n/a**,1613,31.86,n/a**,31.86,13.51,n/a**,13.51,5.05,n/a**,5.05,9.3,n/a**,9.3,2.99,n/a**,2.99,5.04,n/a**,5.04,19.61,n/a**,19.61
2/28/2020,01051,28.56,n/a**,28.29,32.08,n/a**,31.63,2171.00,n/a**,2171,29.82,n/a**,29.47,19.34,n/a**,20.4,5.25,n/a**,5.28,6.91,n/a**,6.73,4.27,n/a**,3.98,8.96,n/a**,9.11,17.95,n/a**,17.86
2/28/2020,01053,35.75,n/a**,33.51,43.49,n/a**,42.63,1882.00,n/a**,1988,36.29,n/a**,36.03,23.29,n/a**,n/a*,8.9,n/a**,8.43,6.23,n/a**,7.19,3.49,n/a**,1.85,8.57,n/a**,7.51,11.54,n/a**,n/a*
2/28/2020,01055,35.43,n/a**,35.43,40.08,n/a**,40.04,2144.00,n/a**,2115,33.6,n/a**,33.66,18,n/a**,17.45,8.06,n/a**,7.97,9.87,n/a**,9.93,6.42,n/a**,6.42,7.63,n/a**,7.5,16.67,n/a**,17.09
2/28/2020,01057,37.64,n/a**,37.64,42.44,n/a**,42.44,1641.00,n/a**,1641,35.63,n/a**,35.63,n/a*,n/a**,n/a*,7.32,n/a**,7.32,9.26,n/a**,9.26,n/a*,n/a**,n/a*,7.75,n/a**,7.75,n/a*,n/a**,n/a*
2/28/2020,01059,34.19,n/a**,35.99,43.02,n/a**,43.6,1772.00,n/a**,1760,30.08,n/a**,31.71,n/a*,n/a**,n/a*,6.17,n/a**,7.62,3.41,n/a**,2.46,3.75,n/a**,5.17,6.51,n/a**,6.23,n/a*,n/a**,n/a*
2/28/2020,01061,35.68,n/a**,35.76,38.59,n/a**,38.67,1751.00,n/a**,1751,35.32,n/a**,35.32,n/a*,n/a**,n/a*,7.8,n/a**,7.8,8.76,n/a**,8.76,2.7,n/a**,2.7,7.05,n/a**,7.07,n/a*,n/a**,n/a*
2/28/2020,01063,49.07,48.6,n/a*,51.85,51.4,n/a*,1878.00,1900.00,n/a*,38.98,39.02,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,9.26,9.35,n/a*,n/a*,n/a*,n/a*
2/28/2020,01065,37.71,46.56,n/a**,45.76,58.78,n/a**,1946.00,1935.00,n/a**,39.35,38.93,n/a**,n/a*,n/a*,n/a**,9,13.46,n/a**,12.5,16.07,n/a**,n/a*,n/a*,n/a**,8.05,8.4,n/a**,n/a*,n/a*,n/a**
2/28/2020,01067,28.73,n/a*,28.19,33.58,n/a*,32.82,1760.00,n/a*,1756,32.52,n/a*,32.56,n/a*,n/a*,n/a*,6.67,n/a*,6.82,0.91,n/a*,0.93,6,n/a*,6,6.34,n/a*,5.41,n/a*,n/a*,n/a*
2/28/2020,01069,32.5,n/a**,31.06,35.81,n/a**,34.22,2122.00,n/a**,2168,34.15,n/a**,34.21,17.28,n/a**,15.33,8.64,n/a**,8.22,9.28,n/a**,8.53,4.5,n/a**,4.43,7.07,n/a**,6.73,18.03,n/a**,20.99
2/28/2020,01071,29.74,n/a**,29.74,35.9,n/a**,35.9,1794.00,n/a**,1794,29.7,n/a**,29.7,19.75,n/a**,19.75,6.67,n/a**,6.67,5.95,n/a**,5.95,3.91,n/a**,3.91,4.38,n/a**,4.38,n/a*,n/a**,n/a*
2/28/2020,01073,34.94,52.28,20.86,39.81,57.26,25.41,1753.00,1882.00,1504,33.38,43.06,28.43,20.39,29.82,12.75,8.4,14.01,5.23,8.5,14.01,4.51,3.96,8.49,2.29,9.32,13.64,5.86,23.46,26.96,19.47
2/28/2020,01075,31.22,n/a**,31.22,34.15,n/a**,34.15,1324.00,n/a**,1324,29.82,n/a**,29.82,n/a*,n/a**,n/a*,10.53,n/a**,10.53,7.5,n/a**,7.5,n/a*,n/a**,n/a*,4.39,n/a**,4.39,n/a*,n/a**,n/a*
