date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi,median_credit_score_all,median_credit_score_coc,median_credit_score_whi
2/1/2020,ME,21.45,n/a**,21.41,28.18,n/a**,28.13,1694,n/a**,1706,28.1,n/a**,28.09,13.57,n/a**,13.47,4.96,n/a**,4.95,2.11,n/a**,2.13,3.14,n/a**,3.14,2.94,n/a**,2.96,6.41,n/a**,6.46,711,n/a**,712
2/1/2020,MI,24.63,53.49,20.4,29.96,60.67,25.51,1553,1879,1460,28.45,45.22,26.94,17.84,36.16,14.63,5.51,14.36,4.7,3.65,10.36,2.97,2.63,5.85,2.48,3.85,8.62,3.15,9.95,11.62,9.32,703,573,720
2/1/2020,MN,14.14,33.88,12.96,15.12,36.43,13.8,1700,1553,1720,24.61,35.92,24.1,11.18,25.18,10.27,3.77,7.78,3.56,2.06,5.29,1.89,2.04,4.13,1.97,1.97,3.07,1.89,8.44,11.36,8.08,738,655,743
2/1/2020,MO,26.97,55.89,23.52,32.55,62.98,28.91,1948,2118,1913,28.42,41.15,27.28,18.25,31.6,16.36,5.53,12.23,4.96,4.54,11.16,3.88,2.91,7.64,2.58,5.73,11.8,5,11.22,13.97,10.6,689,568,705
2/1/2020,MS,36,48.76,29.86,39.51,51.85,33.57,1774,1762,1741,36.23,43.05,34.21,22.61,29.47,18.29,10.03,14.9,8.45,8.05,11.62,6.22,5.95,9.43,4.87,7.15,8.83,6.26,17.39,19.59,15.93,653,599,671
2/1/2020,MT,19.87,50.94,18.62,22.82,55.32,21.51,1837,2480,1816,27.17,41.8,26.77,15.54,40.35,14.77,3.9,9.35,3.82,2.72,8.13,2.53,1.91,n/a*,1.86,2.3,4.18,2.19,7.01,n/a*,6.98,718,584,722
2/1/2020,NC,28.4,39.83,24,35.67,47.87,30.98,1670,1717,1633,30.74,37.74,28.5,16.64,21.51,13.94,6.81,11.29,5.67,5.08,7.71,4.06,3.42,5.67,2.93,4.95,6.67,4.21,8.21,10.29,7.22,678,638,702
2/1/2020,ND,16.46,37.54,15.81,17.69,44.19,16.86,2158,1933,2175,26.47,41.68,26.23,11.52,n/a*,11.28,4.15,9.38,4.05,2.29,10.26,2.09,1.9,n/a*,1.92,4.25,5.32,4.2,9.96,n/a*,9.7,726,621,728
2/1/2020,NE,18.16,36.92,16.04,19.97,40.75,17.6,2003,1951,2097,26.01,33.71,25.22,12.05,22.16,11.44,4.73,11.25,4.3,2.87,7.04,2.49,2.14,4.86,2,3.17,5.1,2.94,10.15,8.33,10.6,722,647,731
2/1/2020,NH,16.72,n/a**,16.72,20.04,n/a**,20.03,1674,n/a**,1681,26.61,n/a**,26.62,11.67,n/a**,11.65,4.74,n/a**,4.75,2.7,n/a**,2.68,2.75,n/a**,2.73,2.05,n/a**,2.04,7.43,n/a**,7.33,726,n/a**,727
2/1/2020,NJ,21.37,34,14.7,25.43,38.28,18.65,1379,1287,1455,27.66,34.28,24.82,13.26,20.11,9.44,5.52,8.76,4.19,3.21,5.87,2.14,3.6,5.1,3.14,2.14,2.98,1.64,11.68,12.46,10.03,711,661,737
2/1/2020,NM,29.8,35.52,18.99,36.31,42.46,23.81,1761,1749,1821,31.67,34.54,25.44,20.57,23.69,15.93,6.19,7.21,4.41,6.59,8.68,3.13,3.81,5.2,1.56,7.72,9.5,3.91,10.69,10.4,10.42,670,651,726
2/1/2020,NV,30.55,42.01,21.39,36.17,47.95,26.53,2132,1964,2155,32.84,38.23,28.71,21.34,26.97,17,7.52,10.49,5.58,5.18,8.17,3.12,2.4,4.18,1.69,9.94,13.01,6.77,19.01,20.97,16.68,672,630,711
2/1/2020,NY,20.34,28.62,15.96,22.64,30.14,18.76,1755,1686,1850,28.38,35.45,25.35,13.95,19.31,10.99,5.95,9.39,4.44,3.19,5.89,2.25,3.38,5.26,3.01,1.46,2.06,1.21,7.24,8.68,5.41,713,670,734
2/1/2020,OH,26.24,51.56,22.7,32.09,57.04,28.55,1529,1606,1502,28.2,40.92,26.98,17.74,31.16,15.42,5.78,12.53,5.12,3.67,8.81,3.09,2.86,5.81,2.66,7.38,12.46,6.7,9.31,12.85,8.4,691,585,709
2/1/2020,OK,32.7,53.12,29.34,38.62,60.3,35.16,2122,1901,2130,31.99,37.99,31.14,23.38,44.39,20.39,6.44,12.41,5.97,5.52,9.5,5.03,3.85,5.71,3.61,5,5.73,4.66,16.47,16.03,15.55,667,576,675
2/1/2020,OR,18.07,n/a*,17.34,20.08,n/a*,19.33,1540,n/a*,1552,27.17,n/a*,26.92,15.2,n/a*,14.77,4.13,n/a*,4.04,2.19,n/a*,2.11,1.65,n/a*,1.54,3.2,n/a*,3.1,9.67,n/a*,9.17,718,n/a*,721
2/1/2020,PA,22.44,48.66,18.74,27.12,54.51,23.26,1821,1791,1824,27.4,42.71,25.9,14.85,30.8,12.3,5.66,14.04,4.86,3.19,9.08,2.6,3.6,9.74,3.19,3.37,5.81,3.02,6.72,8.8,6.13,716,596,729
2/1/2020,RI,22.38,39.56,18.44,25,40.79,21.32,1794,1701,1803,29.01,39.24,27.21,14.9,22.2,13.16,5.77,10.82,4.86,2.78,5.68,2.4,3.42,4.11,3.3,2.36,3.32,2.15,11.73,20.21,8.19,708,643,724
2/1/2020,SC,32.72,46.32,27.74,41.31,56.1,35.88,2197,2182,2236,32.27,39.51,30.34,19.42,25.94,17.17,7.16,12.18,6.1,7.12,11.62,5.56,4.05,7.89,3.46,6.58,8.55,5.76,8.14,9.93,7.57,668,612,680
